[2025-01-29 10:05:40,121: INFO: main: Logging is implemented]
[2025-01-29 11:39:23,637: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-29 11:39:23,639: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-29 11:40:12,842: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-29 11:40:12,849: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-29 11:40:12,850: INFO: common: created directory at: artifacts]
[2025-01-29 11:40:12,852: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-29 11:40:49,876: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-29 11:40:49,887: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-29 11:40:49,889: INFO: common: created directory at: artifacts]
[2025-01-29 11:40:49,890: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-29 11:42:36,377: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-29 11:42:36,379: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-29 11:42:36,381: INFO: common: created directory at: artifacts]
[2025-01-29 11:42:36,382: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-29 11:42:38,013: INFO: 1830398580: File is downloaded]
[2025-01-29 11:43:32,297: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-29 11:43:32,299: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-29 11:43:32,300: INFO: common: created directory at: artifacts]
[2025-01-29 11:43:32,301: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-29 11:43:32,302: INFO: 1830398580: File already exits]
[2025-01-29 11:43:35,005: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-29 11:43:35,008: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-29 11:43:35,009: INFO: common: created directory at: artifacts]
[2025-01-29 11:43:35,010: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-29 11:43:35,011: INFO: 1830398580: File already exits]
[2025-01-29 11:53:58,602: INFO: common: yaml file: config\config.yaml loaded successfully]
